0	-2.94338265
10	-2.943336837
20	-2.943200138
30	-2.94280621
40	-2.941830204
50	-2.939817043
60	-2.936242617
70	-2.930589498
80	-2.922404361
90	-2.911322165
100	-2.897065679
110	-2.879433348
120	-2.858284329
130	-2.833524835
140	-2.805097075
150	-2.772970776
160	-2.737136803
170	-2.697602382
180	-2.654387473
190	-2.607521974
200	-2.55704353
210	-2.502995802
220	-2.445427058
230	-2.384389031
240	-2.319936002
250	-2.252124026
260	-2.181010312
270	-2.106652709
280	-2.029109288
290	-1.948438007
300	-1.864696428
310	-1.777941509
320	-1.688229418
330	-1.595615401
340	-1.500153685
350	-1.401897389
360	-1.300898465
370	-1.197207678
380	-1.090874557
390	-0.981947398
400	-0.870473261
410	-0.756497968
420	-0.640066124
430	-0.521221125
440	-0.400005183
450	-0.276459353
460	-0.150623552
470	-0.022536592
480	0.107763791
490	0.240240909
500	0.374859091
510	0.511583657
520	0.650380877
530	0.791217952
540	0.93406298
550	1.078884926
560	1.225653595
570	1.374339604
580	1.524914353
590	1.677350004
600	1.831619448
610	1.987696291
620	2.145554816
630	2.305169972
640	2.466517347
650	2.629573142
660	2.794314164
670	2.96071779
680	3.128761956
690	3.298425139
700	3.469686337
710	3.642525048
720	3.816921268
730	3.992855456
740	4.17030853
750	4.34926185
760	4.529697206
770	4.711596798
780	4.89494323
790	5.079719497
800	5.265908967
810	5.45349537
820	5.642462796
830	5.832795675
840	6.024478768
850	6.217497161
860	6.411836249
870	6.607481736
880	6.804419616
890	7.002636171
900	7.202117962
910	7.402851814
920	7.60482482
930	7.808024324
940	8.012437921
950	8.218053445
960	8.42485896
970	8.632842762
980	8.841993366
990	9.052299505
1000 9.263750115
